year,region,site,rep,microsite,D1,D2,H,S.barbatus,B.rubens,E.cicutarium,B.hordeaceus,P.secunda,D.kelloggii,P.ovata,C.barbigera,L.gracilis,C.exserta,A.wrangelianus,D.capitatum,Pectocarya spp.,E.penduliflora,A.tessellata,A.adscensionis,C.fremontii,E.minutiflora,P.membranaceum,L.lasiocarpa,M.glabrata,R.neomexicana,E.eremicum,C.rigida,P.crenulata,E.wallacei,C.brevipes,C.claviformis,Erinoginum spp.,M.bellioides,E.exilis,C.lasiophyllus,L.setosissima,A.tuberosa,B.nigria,N.demissum,A.lentiginosus,A.grandiflora,H.vulgare,C.intermedia
2017,Mojave,2.1,26,shrub,1.27,1.15,1.3,9,,,,,,8,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,27,shrub,1.06,0.96,0.88,15,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,28,shrub,1.45,1.19,0.98,4,,,,,,8,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,29,shrub,1.71,1.2,1.09,21,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.1,30,shrub,1.11,1.21,1.05,6,,,,,,5,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.2,1,shrub,1.93,2.62,1.19,68,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.2,2,shrub,2.15,1.52,1.58,66,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
2017,Mojave,2.2,3,shrub,2.09,2.56,1.07,66,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.2,4,shrub,1.51,1.59,1.14,71,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.2,5,shrub,1.64,1.81,1.05,89,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.2,6,shrub,1.77,1.73,1.12,49,,,,,,5,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.2,7,shrub,1.35,0.11,0.76,44,,,,,,,3,,,,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.2,8,shrub,1.42,1.58,1.01,45,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.2,9,shrub,1.35,1.29,0.81,57,,,,,,,3,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.2,10,shrub,1.86,1.48,1.03,67,,,,,,8,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.2,11,shrub,1.59,1.7,0.76,69,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.2,12,shrub,1.89,1.77,1.1,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.2,13,shrub,1.59,1.44,1.1,77,,,,,,,,,,,,,,,,1,,,2,1,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.2,14,shrub,0.86,1.22,0.86,11,,,,,,,1,,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,1
2017,Mojave,2.2,15,shrub,1.66,1.06,1.07,41,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,4,,,,,,,,1
2017,Mojave,2.2,16,shrub,2.79,2.18,1.74,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Mojave,2.2,17,shrub,2.5,2.43,1.51,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
